total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition
20,13000000.0,108.0,2019-03-07T00:00:00,3,2.7,16.0,51.0,8,,False,False,25.0,,New York City,18863.0,16028.0,1.0,482.0,2.0,755.0,
7,3350000.0,40.4,2018-12-04T00:00:00,1,,11.0,18.6,1,,False,False,11.0,2.0,Jersey City,12817.0,18603.0,0.0,,0.0,,81.0
10,5196000.0,56.0,2015-08-20T00:00:00,2,,5.0,34.3,4,,False,False,8.3,0.0,New York City,21741.0,13933.0,1.0,90.0,2.0,574.0,558.0
0,64900000.0,159.0,2015-07-24T00:00:00,3,,14.0,,9,,False,False,,0.0,New York City,28098.0,6800.0,2.0,84.0,3.0,234.0,424.0
2,10000000.0,100.0,2018-06-19T00:00:00,2,3.03,14.0,32.0,13,,False,False,41.0,,New York City,31856.0,8098.0,2.0,112.0,1.0,48.0,121.0
10,2890000.0,30.4,2018-09-10T00:00:00,1,,12.0,14.4,5,,False,False,9.1,,Generic US Locality,,,,,,,55.0
6,3700000.0,37.3,2017-11-02T00:00:00,1,,26.0,10.6,6,,False,False,14.4,1.0,Yonkers,52996.0,19143.0,0.0,,0.0,,155.0
5,7915000.0,71.6,2019-04-18T00:00:00,2,,24.0,,22,,False,False,18.9,2.0,New York City,23982.0,11634.0,0.0,,0.0,,
20,2900000.0,33.16,2018-05-23T00:00:00,1,,27.0,15.43,26,,False,False,8.81,,Long Island City,,,,,,,189.00000000000003
18,5400000.0,61.0,2017-02-26T00:00:00,3,2.5,9.0,43.6,7,,False,False,6.5,2.0,New York City,50898.0,15008.0,0.0,,0.0,,289.0
5,5050000.0,39.6,2017-11-16T00:00:00,1,2.67,12.0,20.3,3,,False,False,8.5,,New York City,38357.0,13878.0,1.0,310.0,2.0,553.0,137.0
9,3300000.0,44.0,2018-08-27T00:00:00,2,,5.0,31.0,4,False,False,False,6.0,1.0,Stamford,48252.0,51677.0,0.0,,0.0,,7.0
10,3890000.0,54.0,2016-06-30T00:00:00,2,,5.0,30.0,5,,False,False,9.0,0.0,New Rochelle,,,,,,,90.00000000000001
20,3550000.0,42.8,2017-07-01T00:00:00,2,2.56,5.0,27.0,5,,False,False,5.2,1.0,Princeton,37868.0,33058.0,1.0,294.0,3.0,298.0,366.00000000000006
1,4400000.0,36.0,2016-06-23T00:00:00,1,,6.0,17.0,1,,False,False,8.0,0.0,White Plains,20782.0,30759.0,0.0,,1.0,96.0,203.0
16,4650000.0,39.0,2017-11-18T00:00:00,1,,14.0,20.5,5,,False,False,7.6,1.0,New York City,12900.0,14259.0,1.0,590.0,1.0,296.0,19.0
11,6700000.0,82.0,2017-11-23T00:00:00,3,3.05,5.0,55.6,1,,False,False,9.0,,New York City,22108.0,10698.0,3.0,420.0,0.0,,397.0
6,4180000.0,36.0,2016-09-09T00:00:00,1,,17.0,16.5,7,,False,False,11.0,1.0,New York City,33564.0,14616.0,0.0,,1.0,859.0,571.0
8,3250000.0,31.0,2017-01-27T00:00:00,1,2.5,5.0,19.4,2,,False,False,5.6,1.0,New York City,44060.0,10842.0,1.0,759.0,0.0,,168.0
16,14200000.0,121.0,2019-01-09T00:00:00,3,2.75,16.0,76.0,8,,False,False,12.0,,New York City,38900.0,12843.0,0.0,,0.0,,97.0
12,6120000.0,80.0,2017-09-28T00:00:00,3,2.7,27.0,48.0,11,,False,False,12.0,2.0,Yonkers,53134.0,19311.0,0.0,,0.0,,74.0
13,3200000.0,31.6,2018-03-14T00:00:00,1,,5.0,16.9,2,,False,False,5.7,1.0,New York City,36064.0,9722.0,1.0,248.0,0.0,,310.0
20,5000000.0,58.0,2017-04-24T00:00:00,2,2.75,25.0,30.0,15,,False,False,11.0,2.0,Greenwich,,,,,,,60.0
11,2950000.0,32.0,2016-10-29T00:00:00,1,2.6,9.0,17.7,9,,False,False,6.1,,New York City,15414.0,14211.0,2.0,517.0,1.0,190.0,615.0
8,6500000.0,97.2,2015-10-31T00:00:00,2,,3.0,46.5,1,,False,False,19.6,0.0,New York City,20052.0,2336.0,3.0,411.0,3.0,124.0,265.0
3,6800000.0,76.0,2015-10-01T00:00:00,2,2.75,23.0,39.0,18,False,False,False,15.0,2.0,New York City,34967.0,14640.0,0.0,,1.0,564.0,300.0
6,4050000.0,60.0,2017-04-28T00:00:00,4,,5.0,43.0,4,,False,False,7.0,,New York City,11580.0,10510.0,0.0,,1.0,95.0,265.0
20,7100000.0,70.0,2017-05-12T00:00:00,3,2.6,17.0,49.0,11,,False,False,9.2,0.0,New York City,29197.0,11456.0,2.0,452.0,1.0,779.0,151.0
8,4170000.0,44.0,2017-12-13T00:00:00,1,2.9,6.0,20.8,1,,False,False,11.7,1.0,White Plains,18557.0,30710.0,0.0,,1.0,118.0,74.0
